word,pos,level,mp3_url
affect,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affec/affect__gb_3.mp3
affection,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affec/affection__gb_1.mp3
afford,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affor/afford__gb_1.mp3
affordable,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affor/affordable__gb_1.mp3
afraid,adjective,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrai/afraid__gb_1.mp3
after,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after__gb_1.mp3
after,conjunction,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after__gb_1.mp3
after,preposition,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after__gb_1.mp3
aftermath,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/aftermath__gb_1.mp3
afternoon,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/afternoon__gb_1.mp3
afterwards,adverb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/afterwards__gb_3.mp3
again,adverb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aga/again/again__gb_1.mp3
against,preposition,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aga/again/against__gb_1.mp3
age,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/age__/age__gb_1.mp3
age,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/age__/age__gb_1.mp3
aged,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/aged_/aged__gb_1.mp3
agency,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/agenc/agency__gb_2.mp3
agenda,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/agend/agenda__gb_1.mp3
agent,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/agent/agent__gb_1.mp3
aggression,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agg/aggre/aggression__gb_1.mp3
aggressive,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agg/aggre/aggressive__gb_2.mp3
ago,adverb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/ago__/ago__gb_1.mp3
agree,verb,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3
agreement,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agreement__gb_1.mp3
agricultural,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agric/agricultural__gb_1.mp3
agriculture,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agric/agriculture__gb_1.mp3
ah,exclamation,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ah_/ah__g/ah__gb_2.mp3
ahead,adverb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ahe/ahead/ahead__gb_1.mp3
